date,home,away
2023-07-23T11:00:00Z,FC Bayern München,Teampräsentation
2023-08-12T18:45:00Z,FC Bayern München,RB Leipzig
2023-08-27T15:30:00Z,FC Bayern München,FC Augsburg
2023-09-15T18:30:00Z,FC Bayern München,Bayer 04 Leverkusen
2023-09-20T19:00:00Z,FC Bayern München,Manchester United
2023-09-23T13:30:00Z,FC Bayern München,VfL Bochum 1848
2023-10-08T15:30:00Z,FC Bayern München,Sport-Club Freiburg
2023-10-14T15:55:00Z,FC Bayern Frauen,Eintracht Frankfurt
2023-10-28T13:30:00Z,FC Bayern München,SV Darmstadt 98
2023-11-08T20:00:00Z,FC Bayern München,Galatasaray Istanbul
2023-11-11T14:30:00Z,FC Bayern München,1. FC Heidenheim 1846
2023-11-29T20:00:00Z,FC Bayern München,FC Kopenhagen
2023-12-17T18:30:00Z,FC Bayern München,VfB Stuttgart
2024-01-12T19:30:00Z,FC Bayern München,TSG 1899 Hoffenheim
2024-01-21T14:30:00Z,FC Bayern München,SV Werder Bremen
2024-01-24T19:30:00Z,FC Bayern München,1. FC Union Berlin
2024-02-03T14:30:00Z,FC Bayern München,Borussia Mönchengladbach
2024-02-24T17:30:00Z,FC Bayern München,RB Leipzig
2024-03-05T20:00:00Z,FC Bayern München,Lazio Rom
2024-03-09T14:30:00Z,FC Bayern München,1. FSV Mainz 05
2024-03-30T17:30:00Z,FC Bayern München,Borussia Dortmund
2024-04-13T13:30:00Z,FC Bayern München,1. FC Köln
2024-04-17T19:00:00Z,FC Bayern München,FC Arsenal
2024-04-27T13:30:00Z,FC Bayern München,Eintracht Frankfurt
2024-04-30T19:00:00Z,FC Bayern München,Real Madrid
2024-05-12T15:30:00Z,FC Bayern München,VfL Wolfsburg
2024-06-14T19:00:00Z,Deutschland,Schottland
2024-06-17T13:00:00Z,Rumänien,Ukraine
2024-06-20T13:00:00Z,Slowenien,Serbien
2024-06-25T19:00:00Z,Dänemark,Serbien
2024-07-02T16:00:00Z,Rumänien,Niederlande
2024-07-09T19:00:00Z,Spanien,Frankreich
2024-09-01T15:30:00Z,FC Bayern München,Sport-Club Freiburg
2024-09-17T19:00:00Z,FC Bayern München,Dinamo Zagreb
2024-09-28T16:30:00Z,FC Bayern München,Bayer 04 Leverkusen
2024-10-14T18:45:00Z,Deutschland,Niederlande
2024-10-19T16:30:00Z,FC Bayern München,VfB Stuttgart
2024-11-02T14:30:00Z,FC Bayern München,1. FC Union Berlin
2024-11-06T20:15:00Z,FC Bayern München,Benfica Lissabon
2024-11-10T14:30:00Z,Carolina Panthers,New York Giants
2024-11-22T19:30:00Z,FC Bayern München,FC Augsburg
2024-11-26T20:00:00Z,FC Bayern München,Paris Saint-Germain
2024-12-03T19:45:00Z,FC Bayern München,Bayer 04 Leverkusen
2024-12-07T14:30:00Z,FC Bayern München,1. FC Heidenheim 1846
2024-12-20T19:30:00Z,FC Bayern München,RB Leipzig
2025-01-15T19:30:00Z,FC Bayern München,TSG Hoffenheim
2025-01-18T14:30:00Z,FC Bayern München,VfL Wolfsburg
2025-01-29T20:00:00Z,FC Bayern München,ŠK Slovan Bratislava
2025-02-01T14:30:00Z,FC Bayern München,Holstein Kiel
2025-02-07T19:30:00Z,FC Bayern München,SV Werder Bremen
2025-02-18T20:00:00Z,FC Bayern München,Celtic Glasgow
2025-02-23T16:30:00Z,FC Bayern München,Eintracht Frankfurt
2025-03-05T20:00:00Z,FC Bayern München,Bayer 04 Leverkusen
2025-03-08T14:30:00Z,FC Bayern München,VfL Bochum 1848
2025-03-29T14:30:00Z,FC Bayern München,FC St. Pauli
2025-04-08T19:00:00Z,FC Bayern München,Inter Mailand
2025-04-12T16:30:00Z,FC Bayern München,Borussia Dortmund
2025-04-26T13:30:00Z,FC Bayern München,1. FSV Mainz 05
2025-05-10T16:30:00Z,FC Bayern München,Borussia Mönchengladbach
2025-05-31T19:00:00Z,Paris Saint-Germain,Inter Mailand
2025-06-04T19:00:00Z,Deutschland,Portugal
2025-06-08T19:00:00Z,Portugal,Spanien
2025-08-02T13:30:00Z,FC Bayern München,Olympique Lyon
2025-08-07T16:30:00Z,FC Bayern München,Tottenham Hotspur
2025-08-22T18:30:00Z,FC Bayern München,RB Leipzig
2025-09-06T15:45:00Z,FC Bayern Frauen,Bayer 04 Leverkusen
2025-09-13T16:30:00Z,FC Bayern München,Hamburger SV
2025-09-17T19:00:00Z,FC Bayern München,FC Chelsea
2025-09-26T18:30:00Z,FC Bayern München,SV Werder Bremen
2025-10-18T16:30:00Z,FC Bayern München,Borussia Dortmund
2025-10-22T19:00:00Z,FC Bayern München,Club Brugge
2025-11-01T17:30:00Z,FC Bayern München,Bayer 04 Leverkusen
2025-11-12T17:45:00Z,FC Bayern Frauen,Arsenal WFC
2025-11-22T14:30:00Z,FC Bayern München,Sport-Club Freiburg
2025-11-29T14:30:00Z,FC Bayern München,FC St. Pauli
2025-12-09T17:45:00Z,FC Bayern München,Sporting Lissabon
2025-12-11T23:00:00Z,FC Bayern München,1. FSV Mainz 05
2026-01-08T23:00:00Z,FC Bayern München,VfL Wolfsburg
2026-01-21T20:00:00Z,FC Bayern München,Royale Union Saint-Gilloise
2026-01-22T23:00:00Z,FC Bayern München,FC Augsburg
2026-02-05T23:00:00Z,FC Bayern München,TSG 1899 Hoffenheim
2026-02-19T23:00:00Z,FC Bayern München,Eintracht Frankfurt
2026-03-05T23:00:00Z,FC Bayern München,Borussia Mönchengladbach
2026-03-19T23:00:00Z,FC Bayern München,1. FC Union Berlin
2026-04-16T22:00:00Z,FC Bayern München,VfB Stuttgart
2026-05-01T22:00:00Z,FC Bayern München,1. FC Heidenheim 1846
2026-05-16T13:30:00Z,FC Bayern München,1. FC Köln
